fleet,rego,model,vin,bodywork,livery,depot
225,6085AO,Mercedes Benz O500LE,WEB63422021000316,"Volgren ""CR228L""",PTV,Seaford
226,6095AO,Mercedes Benz O500LE,WEB63422021000313,"Volgren ""CR228L""",PTV,Pakenham
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
232,6134AO,Mercedes Benz O500LE,WEB63422021000407,"Volgren ""CR228L""",PTV,Pakenham
233,6300AO,Mercedes Benz O500LE,WEB63422021000422,"Volgren Perth ""CR228L""",PTV,Dandenong
234,6278AO,Mercedes Benz O500LE,WEB63422021000421,"Volgren Perth ""CR228L""",PTV,Seaford
,,,,,,
236,6456AO,Mercedes Benz O500LE,WEB63422021000463,"Volgren Malaysia ""CR228L""",PTV,Moorabbin
237,6305AO,Mercedes Benz O500LE,WEB63422021000424,"Volgren Perth ""CR228L""",PTV,Moorabbin
238,4708AO,Mercedes Benz O500LE,WEB63422021000472,"Volgren Malaysia ""CR228L""",PTV,Seaford
,,,,,,
240,6308AO,Mercedes Benz O500LE,WEB63422021000425,"Volgren Malaysia ""CR228L""",PTV,Pakenham
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
249,6478AO,Volvo B7R,YV3R6K7287A118120,"Volgren Malaysia ""SC222""",,Pakenham
250,5013AO,Mercedes Benz O500LE,WEB63422021000494,"Volgren Malaysia ""CR228L""",PTV,Seaford
251,6872AO,Mercedes Benz O500LE,WEB63442021000007,"Volgren Malaysia ""CR228L""",PTV,Dandenong
252,6871AO,Mercedes Benz O500LE,WEB63442021000009,"Volgren Malaysia ""CR228L""",PTV,Dandenong
253,6874AO,Mercedes Benz O500LE,WEB63442021000010,"Volgren Malaysia ""CR228L""",PTV,Dandenong
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
265,6486AO,Mitsubishi Rosa,JMFBE649J0BC00299,Mitsubishi,,Dandenong
266,6485AO,Mitsubishi Rosa,JLFBE649J0BD01146,Mitsubishi,,Knoxfield
,,,,,,
268,6925AO,Mercedes Benz O500LE,WEB63442021000013,"Volgren Malaysia ""CR228L""",AOA,Pakenham
269,6927AO,Mercedes Benz O500LE,WEB63442021000014,"Volgren Malaysia ""CR228L""",PTV,Pakenham
270,6933AO,Mercedes Benz O500LE,WEB63442021000016,"Volgren Malaysia ""CR228L""",PTV,Pakenham
271,6931AO,Mercedes Benz O500LE,WEB63442021000017,"Volgren Malaysia ""CR228L""",AOA,Pakenham
272,6938AO,Volvo B7R,YV3R6K6248A124578,"Volgren Malaysia ""SC222""",,Seaford
273,6929AO,Volvo B7R,YV3R6K6268A124579,"Volgren Malaysia ""SC222""",,Dandenong
274,6939AO,Volvo B7R,YV3R6K6228A124580,"Volgren Malaysia ""SC222""",,Knoxfield
275,6932AO,Mercedes Benz O500LE,WEB63442021000018,"Volgren Malaysia ""CR228L""",PTV,Pakenham
276,6947AO,Mercedes Benz O500LE,WEB63442021000019,"Volgren Malaysia ""CR228L""",PTV,Pakenham
277,6951AO,Mercedes Benz O500LE,WEB63442021000020,"Volgren Malaysia ""CR228L""",PTV,Dandenong
278,6948AO,Mercedes Benz O500LE,WEB63442021000025,"Volgren Malaysia ""CR228L""",PTV,Pakenham
279,6974AO,Mercedes Benz O500LE,WEB63442021000026,"Volgren Malaysia ""CR228L""",PTV,Dandenong
280,7319AO,Mercedes Benz O500LE,WEB63442021000038,"Volgren Malaysia ""CR228L""",PTV,Seaford
281,7338AO,Mercedes Benz O500LE,WEB63442021000056,"Volgren United Arab Emirates ""CR228L""",PTV,Seaford
282,7320AO,Mercedes Benz O500LE,WEB63442021000050,"Volgren United Arab Emirates ""CR228L""",PTV,Pakenham
283,7339AO,Mercedes Benz O500LE,WEB63442021000054,"Volgren United Arab Emirates ""CR228L""",PTV,Pakenham
284,7337AO,Mercedes Benz O500LE,WEB63442021000048,"Volgren United Arab Emirates ""CR228L""",PTV,Pakenham
285,7341AO,Mercedes Benz O500LE,WEB63442021000055,"Volgren United Arab Emirates ""CR228L""",PTV,Pakenham
286,7342AO,Mercedes Benz O500LE,WEB63442021000049,"Volgren United Arab Emirates ""CR228L""",PTV,Dandenong
287,7397AO,Iveco Metro Hybrid,6F2BARB008DR00506,"Volgren ""CR228L""",PTV,Dandenong
288,6922AO,Volvo B12B,YV3R8L2288A124329,"Volgren ""C222TX""",,Dandenong
289,6934AO,Volvo B12B,YV3R8L22X8A124347,"Volgren ""C222TX""",,Dandenong
,,,,,,
,,,,,,
292,7491AO,Scania N310UA,SZAN6X20001863626,"Volgren ""CR228L""",PTV,Dandenong
293,7502AO,Scania N310UA,SZAN6X20001863627,"Volgren ""CR228L""",PTV,Dandenong
294,7655AO,Scania N310UA,SZAN6X20001865485,"Volgren ""CR228L""",PTV,Dandenong
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
304,2404AO,Volvo B10BLE,YV3R4A514VA003103,"Volgren ""CR221L""",,Rail
,,,,,,
,,,,,,
307,u/r,Leyland Tiger,8500146,Ansair,,Heritage
,,,,,,
,,,,,,
,,,,,,
,,,,,,
312,2412AO,Irisbus Delta 250,6F2BARB00YDG00596,"Volgren ""CR221L""",PTV,Seaford
313,2405AO,Volvo B12BLE,YV3R8F8183A002515,"Volgren ""CR221L""",PTV,Dandenong
,,,,,,
315,4478AO,Volvo B7R,YV3R6G7133A006212,"Volgren ""SC222""",,Dandenong
316,5256AO,Mitsubishi Rosa,JMFBE649J0BC00333,Mitsubishi,,Croydon
317,4436AO,Volvo B12BLE,YV3R8F81X4A015560,"Volgren ""CR228L""",PTV,Dandenong
318,5874AO,Volvo B7RLE,YV3R6G7163A005734,"Volgren ""CR228L""",PTV,Seaford
319,2406AO,Volvo B7RLE,YV3R6G7193A004965,"Volgren ""CR228L""",PTV,Seaford
320,5529AO,Volvo B7R,YV3R6G91X4A010109,"Volgren ""SC222""",,Croydon
,,,,,,
322,5853AO,MAN 12.220,WMAA76ZZ15C005625,"Volgren ""CR228L""",PTV,Rosebud
,,,,,,
324,5520AO,Toyota Coaster HZB50R,JT743PB5108004892,Arakawa,,Rosebud
,,,,,,
326,5519AO,Toyota Coaster HZB50R,JTGFB528802000193,Arakawa,,Monbulk
327,5542AO,Iveco Delta,6F2BACR004DL00319,"Volgren ""SC222""",,Seaford
328,5543AO,Iveco Delta,6F2BACR004DL00391,"Volgren ""SC222""",,Croydon
329,5957AO,Mercedes Benz O500LE,WEB63422021000262,"Volgren Perth ""CR228L""",PTV,Rosebud
330,5952AO,Mercedes Benz O500LE,WEB63422021000260,"Volgren Perth ""CR228L""",PTV,Rosebud
331,5611AO,Scania K124EB,YS4K6X20001842891,Coach Design,,Hastings
,,,,,,
333,0171AO,Renault MRC,6TRLR210P00111105,"Austral Pacific ""Starliner""",,Hastings
,,,,,,
,,,,,,
,,,,,,
,,,,,,
338,2177AO,Hino RG230K,JHDRG1JSKXXX10731,"QCC ""Orbit""",,Hastings
,,,,,,
340,6034AO,Mercedes Benz O500LE,WEB63422021000309,"Volgren Perth ""CR228L""",PTV,Seaford
