fleet,rego,model,vin,bodywork,livery,depot
1256,BS01XV,Scania K310UB,9BSK4X20003879240,"Volgren ""Optimus""",PTV,Knoxfield
1257,BS02DU,Volvo B7RLE,YV3R6R623GA176811,"Volgren ""Optimus""",PTV,Seaford
1258,BS01XW,Scania K310UB,9BSK4X20003882794,"Volgren ""Optimus""",PTV,Knoxfield
1259,BS01XX,Scania K310UB,9BSK4X20003882807,"Volgren ""Optimus""",PTV,Croydon
1260,BS01XY,Scania K310UB,9BSK4X20003882814,"Volgren ""Optimus""",PTV,Lilydale
1261,BS01XZ,Scania K310UB,9BSK4X20003882812,"Volgren ""Optimus""",PTV,Lilydale
1262,BS01YA,Scania K310UB,9BSK4X20003882816,"Volgren ""Optimus""",PTV,Lilydale
1263,BS01ZA,Scania K310UB,9BSK4X20003882797,"Volgren ""Optimus""",PTV,Knoxfield
1264,BS01ZB,Scania K310UB,9BSK4X20003882801,"Volgren ""Optimus""",PTV,Lilydale
1265,BS01ZC,Scania K310UB,YS2K4X20001899129,"Volgren ""Optimus""",PTV,Monbulk
1266,BS01ZD,Scania K310UB,YS2K4X20001899132,"Volgren ""Optimus""",PTV,Croydon
1267,BS02LY,Volvo B7RLE,YV3R6R622GA180199,"Volgren ""Optimus""",PTV,Seaford
1268,BS02HL,Optare Solo,SABTW4AK0ES290761,Optare,PTV,Rosebud
1269,BS02HM,Optare Solo,SABTW4AK0ES290762,Optare,PTV,Rosebud
1270,BS02HN,Optare Solo,SABTW4AK0ES290763,Optare,PTV,Rosebud
1271,BS02MF,Volvo B8RLEA,YV3T7U52XGA180295,"Volgren ""Optimus""",PTV,Rosebud
1272,BS02DL,MAN 19.290,WMARR8ZZ5GC021127,"Volgren ""Endura""",,Monbulk
1273,BS02DM,MAN 19.290,WMARR8ZZ7GC021128,"Volgren ""Endura""",,Hastings
1274,BS02DN,MAN 19.290,WMARR8ZZ9GC021129,"Volgren ""Endura""",,Hastings
,,,,,,
1276,BS02IA,Scania K310UB,YS2K4X20001898998,"Volgren ""Optimus""",PTV,West Heidelberg
1277,BS02IB,Scania K310UB,YS2K4X20001899005,"Volgren ""Optimus""",PTV,West Heidelberg
1278,BS02RJ,Hino FD240,JHDFD7JLMXXX11449,P&D,,Rosebud
1279,BS02RV,Hino FD240,JHDFD7JLMXXX11467,P&D,,Rosebud
1280,BS02LV,Volvo B7RLE,YV3R6R623GA178901,"Volgren ""Optimus""",PTV,Seaford
1281,BS02LW,Volvo B7RLE,YV3R6R625GA178916,"Volgren ""Optimus""",PTV,Seaford
1282,BS02LX,Volvo B7RLE,YV3R6R627GA178917,"Volgren ""Optimus""",PTV,Moorabbin
1283,BS02SC,MAN 19.290,WMARR8ZZ6GC021220,"Volgren ""Endura""",,Dandenong
1284,BS02SD,MAN 19.290,WMARR8ZZ8GC021221,"Volgren ""Endura""",,Rosebud
1285,BS02LZ,Volvo B7RLE,YV3R6R626GA178777,"Volgren ""Optimus""",PTV,Pakenham
1286,BS02MA,Volvo B7RLE,YV3R6R628GA178778,"Volgren ""Optimus""",PTV,Pakenham
1287,BS02MD,Volvo B7RLE,YV3R6R627GA178898,"Volgren ""Optimus""",PTV,Rosebud
,,,,,,
1289,BS02MB,Volvo B7RLE,YV3R6R629GA178899,"Volgren ""Optimus""",PTV,Pakenham
1290,BS02MC,Volvo B7RLE,YV3R6R621GA178900,"Volgren ""Optimus""",PTV,Pakenham
1291,BS02ME,Volvo B7RLE,YV3R6R620GA178564,"Volgren ""Optimus""",PTV,Pakenham
1292,BS02LU,Volvo B7RLE,YV3R6R625GA179662,"Volgren ""Optimus""",PTV,Pakenham
1293,BS02YE,Mercedes Benz O500LE,WEB63442321000035,"Volgren ""Optimus""",PTV,Dandenong
1294,BS02YG,Mercedes Benz O500LE,WEB63442321000036,"Volgren ""Optimus""",PTV,Dandenong
1295,BS02YH,Mercedes Benz O500LE,WEB63442321000037,"Volgren ""Optimus""",PTV,Dandenong
1296,BS02YI,Mercedes Benz O500LE,WEB63442321000038,"Volgren ""Optimus""",PTV,Dandenong
1297,BS02YJ,Mercedes Benz O500LE,WEB63442321000039,"Volgren ""Optimus""",PTV,Dandenong
1298,BS02ZA,Scania K310UB,YS2K4X20001902189,"Volgren ""Optimus""",PTV,Knoxfield
1299,BS02ZB,Scania K310UB,YS2K4X20001902214,"Volgren ""Optimus""",PTV,Knoxfield
1300,BS02ZC,Scania K310UB,YS2K4X20001902224,"Volgren ""Optimus""",PTV,Knoxfield
1301,BS02ZD,Scania K310UB,YS2K4X20001902212,"Volgren ""Optimus""",PTV,Croydon
1302,BS02ZE,Scania K310UB,YS2K4X20001902237,"Volgren ""Optimus""",PTV,Croydon
1303,BS02ZF,Scania K310UB,YS2K4X20001902229,"Volgren ""Optimus""",PTV,Lilydale
1304,BS02ZG,Scania K310UB,YS2K4X20001902201,"Volgren ""Optimus""",PTV,Oakleigh
1305,BS02ZH,Scania K310UB,YS2K4X20001902210,"Volgren ""Optimus""",PTV,Croydon
1306,BS02ZI,Scania K310UB,YS2K4X20001902196,"Volgren ""Optimus""",PTV,Oakleigh
1307,BS02ZJ,Scania K310UB,YS2K4X20001902180,"Volgren ""Optimus""",PTV,Monbulk
1308,BS02ZK,Scania K310UB,YS2K4X20001902220,"Volgren ""Optimus""",PTV,Croydon
1309,BS02ZL,Scania K310UB,YS2K4X20001904210,"Volgren ""Optimus""",PTV,Dandenong
1310,BS04KI,Optare Solo,SABBCB2A5JS291566,Optare,PTV,Lilydale
1311,BS04KJ,Optare Solo,SABBCB2A7JS291567,Optare,PTV,Lilydale
1312,BS03WP,Optare Tempo,SABZGF2A5HS280278,Optare,,Dandenong
1313,BS03WQ,Optare Tempo,SABZGF2A7HS280279,Optare,,Dandenong
1314,BS03WX,Optare Tempo,SABZGF2A3HS280280,Optare,,Seaford
1315,BS04AC,Optare Tempo,SABZGF2A5HS280281,Optare,,Seaford
1316,BS04AZ,Optare Tempo,SABZGF2A7HS280282,Optare,,Rosebud
1317,BS04FT,Optare Tempo,SABZGF2A9HS280283,Optare,,Seaford
1318,BS04DC,Hino Poncho,JHDHX9JLKXXX40023,Hino,,Dandenong
1319,BS04DD,Hino Poncho,JHDHX9JLKXXX40024,Hino,,Dandenong
1320,BS03PC,Volvo B8RLE,YV3T7V727HA186110,"Volgren ""Optimus""",PTV,Seaford
1321,BS03PD,Volvo B8RLE,YV3T7V729HA186111,"Volgren ""Optimus""",PTV,Seaford
1322,BS03PE,Volvo B8RLE,YV3T7V723HA186136,"Volgren ""Optimus""",PTV,Rosebud
1323,BS02ZM,Scania K310UB,YS2K4X20001904222,"Volgren ""Optimus""",PTV,Dandenong
1324,BS00PV,Iveco Delta,6F2BACR00CDV00279,"Volgren ""SC222""",,Pakenham
1325,BS00PW,Iveco Delta,6F2BACR00DDW00106,"Volgren ""SC222""",,Pakenham
1326,BS00PX,Iveco Delta,6F2BACR00CDV00552,"Volgren ""SC222""",,Pakenham
1327,BS00PY,Iveco Delta,6F2BACR00CDV00460,"Volgren ""SC222""",,Pakenham
1328,BS04DI,Scania K310UB,YS2K4X20001907105,"Volgren ""Optimus""",PTV,Knoxfield
1329,BS04DJ,Scania K310UB,YS2K4X20001907145,"Volgren ""Optimus""",PTV,Croydon
1330,BS02PT,King Long,LA6A1LAK0HB109146,"King Long ""6120AU""",,Pakenham
1331,BS04DG,Scania K310UB,YS2K4X20001908052,"Volgren ""Optimus""",PTV,Moorabbin
1332,BS04DH,Scania K310UB,YS2K4X20001908129,"Volgren ""Optimus""",PTV,West Heidelberg
1333,BS04DQ,Mercedes Benz OH1830,9BM382177CB865032,"Volgren ""SC222""",,Croydon
1334,BS04DP,Mercedes Benz OH1830,9BM382177CB829349,"Volgren ""SC222""",,Croydon
1335,BS04DT,Mercedes Benz OH1830,9BM382177CB821390,"Volgren Tomago ""SC222""",,Croydon
1336,BS04DL,Mercedes Benz OH1830,9BM382177BB799441,"Volgren Tomago ""SC222""",,Croydon
1337,BS04DU,Mercedes Benz OH1830,9BM382177CB831326,"Volgren ""SC222""",,Croydon
1338,BS04DK,Mercedes Benz OH1830,9BM382177CB822993,"Volgren ""SC222""",,Moorabbin
1339,BS04DS,Mercedes Benz OH1830,9BM382177CB831157,"Volgren ""SC222""",,Dandenong
1340,BS04DM,Mercedes Benz OH1830,9BM382177CB866282,"Volgren ""SC222""",,Dandenong
1341,BS04JO,Scania K310UB,YS2K4X20001908615,"Volgren ""Optimus""",PTV,Rosebud
1342,BS04JP,Scania K310UB,YS2K4X20001909174,"Volgren ""Optimus""",PTV,Knoxfield
1343,BS04JQ,Scania K310UB,YS2K4X20001909176,"Volgren ""Optimus""",PTV,Knoxfield
1344,BS04JR,Scania K310UB,YS2K4X20001909179,"Volgren ""Optimus""",PTV,Knoxfield
1345,BS04JC,Scania K310UB,YS2K4X20001909164,"Volgren ""Optimus""",PTV,Monbulk
1346,BS04JT,Scania K310UB,YS2K4X20001909180,"Volgren ""Optimus""",PTV,Croydon
1347,BS04JU,Scania K310UB,YS2K4X20001909194,"Volgren ""Optimus""",PTV,Croydon
1348,BS04JV,Scania K310UB,YS2K4X20001909199,"Volgren ""Optimus""",PTV,Oakleigh
1349,BS04JW,Scania K310UB,YS2K4X20001909192,"Volgren ""Optimus""",PTV,Dandenong
1350,BS04JX,Scania K310UB,YS2K4X20001909190,"Volgren ""Optimus""",PTV,Dandenong
1351,BS04JY,Scania K310UB,YS2K4X20001909184,"Volgren ""Optimus""",PTV,Dandenong
1352,BS04YF,Scania K310UB,YS2K4X20001910932,"Volgren ""Optimus""",PTV,Knoxfield
1353,BS04KA,Scania K310UB,YS2K4X20001909442,"Volgren ""Optimus""",PTV,Dandenong
1354,BS04KB,Scania K310UB,YS2K4X20001909473,"Volgren ""Optimus""",PTV,Dandenong
1355,BS04KC,Scania K310UB,YS2K4X20001909543,"Volgren ""Optimus""",PTV,Dandenong
1356,BS04KD,Scania K310UB,YS2K4X20001909786,"Volgren ""Optimus""",PTV,Croydon
1357,BS04KE,Scania K310UB,YS2K4X20001909767,"Volgren ""Optimus""",PTV,Croydon
1358,BS04NJ,Volvo B8RLE,YV3T7V725JA191120,"Volgren ""Optimus""",PTV,Seaford
1359,BS04KF,Scania K310UB,YS2K4X20001910503,"Volgren ""Optimus""",PTV,Croydon
1360,BS04YD,Scania K310UB,YS2K4X20001910905,"Volgren ""Optimus""",PTV,Moorabbin
1361,BS04YE,Scania K310UB,YS2K4X20001910918,"Volgren ""Optimus""",PTV,Dandenong
1362,BS04JZ,Scania K310UB,YS2K4X20001909424,"Volgren ""Optimus""",PTV,Seaford
1363,BS04XE,Volvo B8RLE,YV3T7V723KA193966,"Volgren ""Optimus""",PTV,Seaford
1364,BS04XF,Volvo B8RLE,YV3T7V72XKA194273,"Volgren ""Optimus""",PTV,Seaford
1365,BS04XG,Volvo B8RLE,YV3T7V721KA194274,"Volgren ""Optimus""",PTV,Oakleigh
1366,BS04XH,Volvo B8RLE,YV3T7V722KA194302,"Volgren ""Optimus""",PTV,Seaford
1367,BS04XI,Volvo B8RLE,YV3T7V724KA194303,"Volgren ""Optimus""",PTV,Dandenong
1368,BS04YG,Scania K310UB,YS2K4X20001912352,"Volgren ""Optimus""",PTV,Oakleigh
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1374,BS04YA,Scania K360UA,YS2K6X20001912053,"Volgren ""Optimus""",PTV,Dandenong
,,,,,,
,,,,,,
,,,,,,
1378,BS04XX,Scania K360UA,YS2K6X20001910448,"Volgren ""Optimus""",PTV,Rosebud
1379,BS04XY,Scania K360UA,YS2K6X20001911429,"Volgren ""Optimus""",PTV,Rosebud
1380,BS04XZ,Scania K360UA,YS2K6X20001911648,"Volgren ""Optimus""",PTV,Pakenham
1381,BS04KH,Hino Poncho,JHDHX9JLKXXX40011,Hino,,Dandenong
,,,,,,
1383,BS03ET,Mercedes Benz OH1830,9BM382177CB868286,"Volgren ""SC222""",,Dandenong
1384,BS03EF,Mercedes Benz OH1830,9BM382177CB867788,Volgren,,Moorabbin
1385,BS03EU,Mercedes Benz OH1830,9BM382177DB890547,Volgren,,Pakenham
1386,BS03ES,Mercedes Benz OH1830,9BM382177DB890140,Volgren,,Dandenong
1387,BS03EQ,Mercedes Benz OH1830,9BM382177DB892199,Volgren,,Dandenong
1388,BS03EP,Mercedes Benz OH1830,9BM382177CB868421,Volgren,,Dandenong
1389,BS03EG,Mercedes Benz OH1830,9BM382177CB871964,Volgren,,Dandenong
1390,BS03FX,Mercedes Benz OH1830,9BM382177CB868496,Volgren,,Dandenong
1391,BS03FA,Mercedes Benz OH1830,9BM382177DB901090,"Volgren ""Endura""",,Moorabbin
1392,BS03FC,Mercedes Benz OH1830,9BM382177DB901125,"Volgren ""Endura""",,Moorabbin
1393,BS03FB,Mercedes Benz OH1830,9BM382177CB866170,"Volgren ""SC222""",,Moorabbin
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1408,BS05FI,Optare Solo,SABBCB2A3JS291565,Optare,PTV,Lilydale
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
